easting,northing,elevation,thickness,coal_value
14111.6,14645.3,601.8,8.77,21.5
9680.5,14341.9,610.885,8.52,25.2
9406.6,13835.8,615.63,4.64,25.13
12371.3,13125.9,599.65,0.8,20.74
12329.9,12532.7,582.14,8.04,22.46
11854.2,12642.5,592.085,4.4,24.1
12100.9,13791.2,612.635,6.86,25.14
14426.6,14177.7,608.175,8.29,21
14972.3,14103.1,596.485,10.41,20.75
15167.1,12919.8,584.72,6.62,22.52
15887.7,13469.2,600.75,2.48,23
15712,12436.7,598,10.5,17.21
13719,12668.9,588.43,13.66,23.59
13242.1,13259.8,586.01,12.32,24.04
13418.8,12160.8,576.995,10.24,24.19
14117.1,12772.8,593.49,12.66,25.85
13074.8,14331.3,607.25,5.44,23.72
14122.2,13579.5,607.41,6.15,24.5
11070.2,12152.7,597.12,7.31,23.4
9401.6,12931.6,606.01,4.66,26.48
8887.7,12816.9,616.685,5.06,25.35
8542.3,13567.6,614.35,6.26,24.92
8695.5,14873,626.245,3.64,22.13
7994.7,12940.8,614.22,0.58,21.38
10830.8,12741.4,605.475,6.04,25.2
11262.3,13245.9,590.015,8.74,24.96
11739.3,13530.1,596.535,9.36,25.8
10278,14408.7,603.3,9.38,26.09
11026.5,14486.7,610.485,10.11,25.43
10164.2,13078.3,593.99,6.43,25
12380.1,11691.1,605.405,8.25,24.5
13033.8,11472.8,593.04,15.14,23.91
13629.9,11383,599.88,11.04,26.12
11789.7,11911.1,596.03,4.08,22.93
10567.2,13533.6,602.91,6,26.18
10290.9,12351.5,603.95,8.96,23.4
16095.4,12280.4,579.39,16.55,22.96
15348.9,11802.9,596.44,6.16,23.24
10262.9,15969.8,615.83,5.26,24.8
10753.9,16153.7,622.41,2.81,24.36
8735.3,15982.4,630.58,3.84,22
11375.1,15226.8,636.21,0,0
8579.2,14045.5,623.73,5.46,23.71
9360.9,15420.2,632.03,2.51,22.5
8805.2,15664.7,630.285,3,26
9375.5,16045.8,627.49,2.38,21.94
7978.2,15055.3,618,5.96,23.5
10904.7,15220.2,618.695,5.82,25.4
11993.2,14821.4,606.18,7.26,26.5
10011.7,15019.4,611.805,7.36,26.47
12020.8,15231.4,618.07,6.44,26.75
12042.4,15645.9,619.8,7.54,25.2
12898,16541.4,608,5.8,24.5
13775,15476.8,592.67,9.5,25.16
14057.3,15046.5,596.89,10.08,23.26
12912.3,15305.3,606.395,5.24,23.6
12988.1,14816.1,615.89,4.86,24.55
13451.2,14827.5,604.19,0,0
14533.9,15719.8,620.88,0.48,21
14881.6,15208.1,593.54,8.48,24.6
15306.3,15500.9,609.815,1.5,21
15796.9,14769.9,607.375,6.47,24.76
15850,15750.5,617.395,2.66,21
8346.8,12145,608.23,5,19.89
10130.3,11612.5,608.675,6.62,21.56
11482.1,11294.3,583.15,15.28,22.48
11070.3,10529.9,599.99,4.12,0
10716.2,10090.5,574.68,3.38,23.99
11669.6,9268.3,598.7,7.2,26.18
8024.5,10854.4,605.67,7.7,22.9
8727.5,11543.9,607.24,9.9,22.37
9423.1,11171.4,614.14,6.22,26
9352.9,11852.9,598.89,1.08,20.9
13119.9,10042.6,600.42,9.32,25.43
13342.2,10643,605.62,9.56,24.75
12657.5,10739.9,607.91,10.77,23.7
12119.7,10190.8,603.27,10.04,23.34
12070,10733.6,598.835,9.36,22
11883.4,12329.5,588.48,2.14,21.14
12073,13488.8,613.06,5.2,22.36
10892.5,14663.3,614.67,8.12,26.06
9216.2,13183.4,612.95,8.26,24.25
8864.3,13776.1,620.56,5.56,24.65
9133.5,14426.9,625.6,5.26,23.59
14564.7,13809.5,577.39,9.72,21.57
14526.4,14364,593.02,14.32,22.11
14363.6,14965.4,590.16,11.7,21.8
15321.5,13480.2,600.85,1.9,23.76
15893.7,12706.4,600.54,3.66,21.44
15724.7,12200.7,592.86,11.2,0
13239.7,11452.9,589.28,14.2,23.73
13433.6,11427.8,595.25,11.72,24.37
11601.8,12165.8,598.28,4.14,21.61
11430.7,12396.7,598.41,7.62,25.24
11302.4,12558.9,591.55,10.78,23.82
11127.6,12764.1,600.32,9.52,23.94
10970.5,12901.4,609.5,5.12,25.74
10570.3,12526.6,602.98,8.84,24.23
11132.1,13096.9,604.34,9.78,24.43
11094.4,13449.9,606.33,6.19,25.81
10953.1,13625.5,607.42,4.96,25.33
10783,13816.7,609.82,5.36,26.9
13793.1,12509.4,600.13,11.52,23.4
13842.3,12883.5,589.1,12.54,0
13836.5,13225.9,607.64,7.67,24.14
13659.4,13904.1,590.83,8.94,24.78
13334.8,14556.7,599.97,6.48,21.94
14609.2,12493.8,600.035,8.48,24.62
10563.7,14107.3,608.395,7.11,25.78
10429.9,14270.5,602.16,9.53,26.73
10664.3,14463.9,615.78,7.68,26.73
9967.8,12741.5,586.85,9.22,24.61
9667.7,13285.3,604.41,9.08,23.41
12112,12590.4,597.74,1.68,21.01
10510.3,16087.3,613.185,4.36,24.04
8624.89,16145.9,608.39,9.3,26.04
